Notikuma identifikators;Vērtība;Lauka nosaukums
220603360;Diena;Apgaismojums
220604703;Diena;Apgaismojums
220604754;Diena;Apgaismojums
220607397;Diena;Apgaismojums
220610759;Diena;Apgaismojums
220146875;Diena;Apgaismojums
220377892;Diena;Apgaismojums
220372443;Diena;Apgaismojums
220374268;Diena;Apgaismojums
220375578;Diena;Apgaismojums
220381822;Diena;Apgaismojums
220392916;Tumsa;Apgaismojums
220395518;Diena;Apgaismojums
220396692;Diena;Apgaismojums
220396763;Diena;Apgaismojums
220675653;Diena;Apgaismojums
220679656;Diena;Apgaismojums
220680919;Diena;Apgaismojums
220684825;Diena;Apgaismojums
220672182;Diena;Apgaismojums
220672206;Diena;Apgaismojums
220642551;Tumsa;Apgaismojums
220623895;Diena;Apgaismojums
220616379;Tumsa;Apgaismojums
220617684;Diena;Apgaismojums
220620208;Diena;Apgaismojums
220600488;Diena;Apgaismojums
220601855;Tumsa, apgaism.ieslēgts;Apgaismojums
220603149;Diena;Apgaismojums
220604465;Tumsa, apgaismojuma nav;Apgaismojums
220603589;Diena;Apgaismojums
220626479;Diena;Apgaismojums
220629145;Diena;Apgaismojums
220635938;Diena;Apgaismojums
220647191;Diena;Apgaismojums
220389703;Diena;Apgaismojums
220393655;Diena;Apgaismojums
220404032;Diena;Apgaismojums
220649299;Diena;Apgaismojums
220650602;Diena;Apgaismojums
220654634;Diena;Apgaismojums
220437272;Diena;Apgaismojums
220441469;Diena;Apgaismojums
220421437;Apgaismojums ieslēgts;Apgaismojums
220425369;Diena;Apgaismojums
220679952;Tumsa, apgaism.ieslēgts;Apgaismojums
220680452;Tumsa;Apgaismojums
220681806;Tumsa, apgaism.ieslēgts;Apgaismojums
220683073;Diena;Apgaismojums
220664556;Tumsa;Apgaismojums
220665865;Diena;Apgaismojums
220671150;Diena;Apgaismojums
220671178;Diena;Apgaismojums
220653711;Diena;Apgaismojums
220657661;Tumsa;Apgaismojums
220661673;Tumsa;Apgaismojums
220614132;Diena;Apgaismojums
220605243;Diena;Apgaismojums
220609238;Diena;Apgaismojums
220376729;Tumsa;Apgaismojums
220375694;Tumsa, apgaismojuma nav;Apgaismojums
220375733;Diena;Apgaismojums
220375797;Diena;Apgaismojums
220692190;Krēsla;Apgaismojums
220686949;Diena;Apgaismojums
