Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
220374021;1;Vieglā;TOYOTA;AURIS;2015;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220374021;2;Vieglā;FORD;FIESTA;2006;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220374029;1;Kravas;VW;TRANSPORTER;2003;1;Vadītājs;36;V;Nē;bez miesas bojājumiem
220374124;1;Vieglā;VOLVO;V60 CROSS COUNTRY;2016;3;Vadītājs;20;V;Nē;bez miesas bojājumiem
220374124;2;Vieglā;AUDI;A4;2007;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
220374124;3;Vieglā;BMW;320D XDRIVE;2019;2;Vadītājs;38;V;Nē;bez miesas bojājumiem
220374143;1;Vieglā;AUDI;A4 AVANT;2000;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
220374143;2;Vieglā;BMW;X5 XDRIVE30D;2015;2;Vadītājs;49;V;Nē;bez miesas bojājumiem
220374190;1;Kravas;;;;1;Vadītājs;;;Nē;bez miesas bojājumiem
220374194;1;Autobuss;SOLARIS;URBINO 18;2014;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
220374194;2;Vieglā;BENTLEY;CONTINENTAL GT;2012;2;Vadītājs;62;V;Nē;bez miesas bojājumiem
220374204;1;Vieglā;AUDI;A4;2008;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220374204;2;Kravas;MAN;TGE;2019;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
220374205;1;Vieglā;VOLVO;S60;2002;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220374205;2;Motocikls;HARLEY DAVIDSON;ULTRA CLASSIC ELECTR;2003;1;Vadītājs;39;V;Nē;bez miesas bojājumiem
220374206;1;Kravas;MERCEDES BENZ;1827;1994;1;Vadītājs;60;V;Nē;bez miesas bojājumiem
220374232;1;Kvadracikls;;;;1;Vadītājs;16;V;Nē;bez miesas bojājumiem
